,Kernel Version,Subsystem,File,Callee,Caller,Caller Type
0,v5.2,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
1,v5.2,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
2,v5.2,kernel,nsproxy.c,switch_task_namespaces,setns,syscall
3,v5.2,drivers/base,devtmpfs.c,ksys_unshare,devtmpfsd,function
4,v5.2,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
5,v5.2,kernel,fork.c,ksys_unshare,unshare,syscall
6,v5.2,kernel,exit.c,exit_task_namespaces,do_exit,function
7,v5.2,kernel,fork.c,exit_task_namespaces,copy_process,function
8,v5.2,drivers/base,devtmpfs.c,devtmpfsd,devtmpfs_init,function
9,v5.2,init,do_mounts_initrd.c,init_linuxrc,handle_initrd,function
10,v5.2,arch/alpha/kernel,traps.c,do_exit,die_if_kernel,function
11,v5.2,arch/alpha/kernel,traps.c,do_exit,do_entUna,function
12,v5.2,arch/alpha/kernel,traps.c,do_exit,do_entUna,function
13,v5.2,arch/alpha/mm,fault.c,do_exit,do_page_fault,function
14,v5.2,arch/arm/kernel,traps.c,do_exit,oops_end,function
15,v5.2,arch/arm/mm,fault.c,do_exit,__do_kernel_fault,function
16,v5.2,arch/arm64/kernel,traps.c,do_exit,die,function
17,v5.2,arch/arm64/mm,fault.c,do_exit,die_kernel_fault,function
18,v5.2,arch/csky/abiv1,alignment.c,do_exit,csky_alignment,function
19,v5.2,arch/csky/kernel,traps.c,do_exit,die_if_kernel,function
20,v5.2,arch/h8300/kernel,traps.c,do_exit,die,function
21,v5.2,arch/h8300/mm,fault.c,do_exit,do_page_fault,function
22,v5.2,arch/hexagon/kernel,traps.c,do_exit,die,function
23,v5.2,arch/ia64/kernel,mca_drv.c,do_exit,mca_handler_bh,function
24,v5.2,arch/ia64/kernel,traps.c,do_exit,die,function
25,v5.2,arch/ia64/mm,fault.c,do_exit,ia64_do_page_fault,function
26,v5.2,arch/m68k/kernel,traps.c,do_exit,die_if_kernel,function
27,v5.2,arch/m68k/kernel,traps.c,do_exit,fpsp040_die,function
28,v5.2,arch/m68k/mm,fault.c,do_exit,send_fault_sig,function
29,v5.2,arch/microblaze/kernel,exceptions.c,do_exit,die,function
30,v5.2,arch/mips/kernel,syscall.c,do_exit,bad_stack,function
31,v5.2,arch/mips/kernel,traps.c,do_exit,die,function
32,v5.2,arch/nds32/kernel,fpu.c,do_exit,handle_fpu_exception,function
33,v5.2,arch/nds32/kernel,traps.c,do_exit,die,function
34,v5.2,arch/nds32/kernel,traps.c,do_exit,unhandled_interruption,function
35,v5.2,arch/nds32/kernel,traps.c,do_exit,unhandled_exceptions,function
36,v5.2,arch/nds32/kernel,traps.c,do_exit,do_revinsn,function
37,v5.2,arch/nds32/mm,fault.c,do_exit,do_page_fault,function
38,v5.2,arch/nios2/kernel,traps.c,do_exit,die,function
39,v5.2,arch/openrisc/kernel,traps.c,do_exit,die,function
40,v5.2,arch/openrisc/mm,fault.c,do_exit,do_page_fault,function
41,v5.2,arch/parisc/kernel,traps.c,do_exit,die_if_kernel,function
42,v5.2,arch/powerpc/kernel,signal_32.c,do_exit,swapcontext,syscall
43,v5.2,arch/powerpc/kernel,signal_64.c,do_exit,swapcontext,syscall
44,v5.2,arch/powerpc/kernel,signal_64.c,do_exit,swapcontext,syscall
45,v5.2,arch/powerpc/kernel,traps.c,do_exit,oops_end,function
46,v5.2,arch/riscv/kernel,traps.c,do_exit,die,function
47,v5.2,arch/riscv/mm,fault.c,do_exit,do_page_fault,function
48,v5.2,arch/s390/kernel,dumpstack.c,do_exit,die,function
49,v5.2,arch/s390/kernel,nmi.c,do_exit,s390_handle_mcck,function
50,v5.2,arch/s390/kernel,process.c,do_exit,copy_thread_tls,function
51,v5.2,arch/s390/kernel,traps.c,do_exit,default_trap_handler,function
52,v5.2,arch/s390/mm,fault.c,do_exit,do_no_context,function
53,v5.2,arch/s390/mm,fault.c,do_exit,do_low_address,function
54,v5.2,arch/sh/kernel,traps.c,do_exit,die,function
55,v5.2,arch/sh/mm,fault.c,do_exit,no_context,function
56,v5.2,arch/sparc/kernel,signal_32.c,do_exit,setup_frame,function
57,v5.2,arch/sparc/kernel,signal_32.c,do_exit,setup_rt_frame,function
58,v5.2,arch/sparc/kernel,traps_32.c,do_exit,die_if_kernel,function
59,v5.2,arch/sparc/kernel,traps_32.c,do_exit,die_if_kernel,function
60,v5.2,arch/sparc/kernel,traps_64.c,do_exit,die_if_kernel,function
61,v5.2,arch/sparc/kernel,traps_64.c,do_exit,die_if_kernel,function
62,v5.2,arch/sparc/kernel,windows.c,do_exit,try_to_clear_window_buffer,function
63,v5.2,arch/sparc/mm,fault_32.c,do_exit,do_sparc_fault,function
64,v5.2,arch/sparc/mm,tsb.c,do_exit,setup_tsb_params,function
65,v5.2,arch/unicore32/kernel,traps.c,do_exit,die,function
66,v5.2,arch/unicore32/mm,fault.c,do_exit,__do_kernel_fault,function
67,v5.2,arch/x86/entry/vsyscall,vsyscall_64.c,do_exit,emulate_vsyscall,function
68,v5.2,arch/x86/kernel,vm86_32.c,do_exit,save_v86_state,function
69,v5.2,arch/x86/kernel,vm86_32.c,do_exit,save_v86_state,function
70,v5.2,arch/x86/kernel,vm86_32.c,do_exit,save_v86_state,function
71,v5.2,arch/xtensa/kernel,traps.c,do_exit,die,function
72,v5.2,arch/xtensa/mm,fault.c,do_exit,bad_page_fault,function
73,v5.2,drivers/firmware,stratix10-svc.c,do_exit,svc_normal_to_secure_shm_thread,function
74,v5.2,drivers/soc/ti,wkup_m3_ipc.c,do_exit,wkup_m3_rproc_boot_thread,function
75,v5.2,fs,buffer.c,do_exit,bdflush,syscall
76,v5.2,include/linux,module.h,do_exit,module_put_and_exit,macro
77,v5.2,kernel,exit.c,do_exit,complete_and_exit,function
78,v5.2,kernel,exit.c,do_exit,exit,syscall
79,v5.2,kernel,exit.c,do_exit,do_group_exit,function
80,v5.2,kernel,kthread.c,do_exit,kthread,function
81,v5.2,kernel,kthread.c,do_exit,kthread,function
82,v5.2,kernel,kthread.c,do_exit,kthread,function
83,v5.2,kernel,module.c,do_exit,__module_put_and_exit,function
84,v5.2,kernel,pid_namespace.c,do_exit,reboot_pid_ns,function
85,v5.2,kernel,reboot.c,do_exit,reboot,syscall
86,v5.2,kernel,reboot.c,do_exit,reboot,syscall
87,v5.2,kernel,seccomp.c,do_exit,__secure_computing_strict,function
88,v5.2,kernel,seccomp.c,do_exit,__seccomp_filter,function
89,v5.2,kernel,umh.c,do_exit,call_usermodehelper_exec_async,function
90,v5.2,net/batman-adv,tp_meter.c,do_exit,batadv_tp_send,function
91,v5.2,kernel,fork.c,copy_process,fork_idle,function
92,v5.2,kernel,fork.c,copy_process,_do_fork,function
93,v5.3,kernel,fork.c,switch_task_namespaces,ksys_unshare,function
94,v5.3,kernel,nsproxy.c,switch_task_namespaces,exit_task_namespaces,function
95,v5.3,kernel,nsproxy.c,switch_task_namespaces,setns,syscall
96,v5.3,drivers/base,devtmpfs.c,ksys_unshare,devtmpfsd,function
97,v5.3,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
98,v5.3,kernel,fork.c,ksys_unshare,unshare,syscall
99,v5.3,kernel,exit.c,exit_task_namespaces,do_exit,function
100,v5.3,kernel,fork.c,exit_task_namespaces,copy_process,function
101,v5.3,drivers/base,devtmpfs.c,devtmpfsd,devtmpfs_init,function
102,v5.3,init,do_mounts_initrd.c,init_linuxrc,handle_initrd,function
103,v5.3,arch/alpha/kernel,traps.c,do_exit,die_if_kernel,function
104,v5.3,arch/alpha/kernel,traps.c,do_exit,do_entUna,function
105,v5.3,arch/alpha/kernel,traps.c,do_exit,do_entUna,function
106,v5.3,arch/alpha/mm,fault.c,do_exit,do_page_fault,function
107,v5.3,arch/arm/kernel,traps.c,do_exit,oops_end,function
108,v5.3,arch/arm/mm,fault.c,do_exit,__do_kernel_fault,function
109,v5.3,arch/arm64/kernel,traps.c,do_exit,die,function
110,v5.3,arch/arm64/mm,fault.c,do_exit,die_kernel_fault,function
111,v5.3,arch/csky/abiv1,alignment.c,do_exit,csky_alignment,function
112,v5.3,arch/csky/kernel,traps.c,do_exit,die_if_kernel,function
113,v5.3,arch/h8300/kernel,traps.c,do_exit,die,function
114,v5.3,arch/h8300/mm,fault.c,do_exit,do_page_fault,function
115,v5.3,arch/hexagon/kernel,traps.c,do_exit,die,function
116,v5.3,arch/ia64/kernel,mca_drv.c,do_exit,mca_handler_bh,function
117,v5.3,arch/ia64/kernel,traps.c,do_exit,die,function
118,v5.3,arch/ia64/mm,fault.c,do_exit,ia64_do_page_fault,function
119,v5.3,arch/m68k/kernel,traps.c,do_exit,die_if_kernel,function
120,v5.3,arch/m68k/kernel,traps.c,do_exit,fpsp040_die,function
121,v5.3,arch/m68k/mm,fault.c,do_exit,send_fault_sig,function
122,v5.3,arch/microblaze/kernel,exceptions.c,do_exit,die,function
123,v5.3,arch/mips/kernel,syscall.c,do_exit,bad_stack,function
124,v5.3,arch/mips/kernel,traps.c,do_exit,die,function
125,v5.3,arch/nds32/kernel,fpu.c,do_exit,handle_fpu_exception,function
126,v5.3,arch/nds32/kernel,traps.c,do_exit,die,function
127,v5.3,arch/nds32/kernel,traps.c,do_exit,unhandled_interruption,function
128,v5.3,arch/nds32/kernel,traps.c,do_exit,unhandled_exceptions,function
129,v5.3,arch/nds32/kernel,traps.c,do_exit,do_revinsn,function
130,v5.3,arch/nds32/mm,fault.c,do_exit,do_page_fault,function
131,v5.3,arch/nios2/kernel,traps.c,do_exit,die,function
132,v5.3,arch/openrisc/kernel,traps.c,do_exit,die,function
133,v5.3,arch/openrisc/mm,fault.c,do_exit,do_page_fault,function
134,v5.3,arch/parisc/kernel,traps.c,do_exit,die_if_kernel,function
135,v5.3,arch/powerpc/kernel,signal_32.c,do_exit,swapcontext,syscall
136,v5.3,arch/powerpc/kernel,signal_64.c,do_exit,swapcontext,syscall
137,v5.3,arch/powerpc/kernel,signal_64.c,do_exit,swapcontext,syscall
138,v5.3,arch/powerpc/kernel,traps.c,do_exit,oops_end,function
139,v5.3,arch/riscv/kernel,traps.c,do_exit,die,function
140,v5.3,arch/riscv/mm,fault.c,do_exit,do_page_fault,function
141,v5.3,arch/s390/kernel,dumpstack.c,do_exit,die,function
142,v5.3,arch/s390/kernel,nmi.c,do_exit,s390_handle_mcck,function
143,v5.3,arch/s390/kernel,process.c,do_exit,copy_thread_tls,function
144,v5.3,arch/s390/kernel,traps.c,do_exit,default_trap_handler,function
145,v5.3,arch/s390/mm,fault.c,do_exit,do_no_context,function
146,v5.3,arch/s390/mm,fault.c,do_exit,do_low_address,function
147,v5.3,arch/sh/kernel,traps.c,do_exit,die,function
148,v5.3,arch/sh/mm,fault.c,do_exit,no_context,function
149,v5.3,arch/sparc/kernel,signal_32.c,do_exit,setup_frame,function
150,v5.3,arch/sparc/kernel,signal_32.c,do_exit,setup_rt_frame,function
151,v5.3,arch/sparc/kernel,traps_32.c,do_exit,die_if_kernel,function
152,v5.3,arch/sparc/kernel,traps_32.c,do_exit,die_if_kernel,function
153,v5.3,arch/sparc/kernel,traps_64.c,do_exit,die_if_kernel,function
154,v5.3,arch/sparc/kernel,traps_64.c,do_exit,die_if_kernel,function
155,v5.3,arch/sparc/kernel,windows.c,do_exit,try_to_clear_window_buffer,function
156,v5.3,arch/sparc/mm,fault_32.c,do_exit,do_sparc_fault,function
157,v5.3,arch/sparc/mm,tsb.c,do_exit,setup_tsb_params,function
158,v5.3,arch/unicore32/kernel,traps.c,do_exit,die,function
159,v5.3,arch/unicore32/mm,fault.c,do_exit,__do_kernel_fault,function
160,v5.3,arch/x86/entry/vsyscall,vsyscall_64.c,do_exit,emulate_vsyscall,function
161,v5.3,arch/x86/kernel,vm86_32.c,do_exit,save_v86_state,function
162,v5.3,arch/x86/kernel,vm86_32.c,do_exit,save_v86_state,function
163,v5.3,arch/x86/kernel,vm86_32.c,do_exit,save_v86_state,function
164,v5.3,arch/xtensa/kernel,traps.c,do_exit,die,function
