,Kernel Version,Subsystem,File,Callee,Caller,Caller Type
0,v5.2,fs,exec.c,commit_creds,install_exec_creds,function
1,v5.2,kernel,capability.c,commit_creds,capset,function
2,v5.2,kernel,fork.c,commit_creds,ksys_unshare,function
3,v5.2,kernel,groups.c,commit_creds,set_current_groups,function
4,v5.2,kernel,sys.c,commit_creds,__sys_setregid,function
5,v5.2,kernel,sys.c,commit_creds,__sys_setgid,function
6,v5.2,kernel,sys.c,commit_creds,__sys_setreuid,function
7,v5.2,kernel,sys.c,commit_creds,__sys_setuid,function
8,v5.2,kernel,sys.c,commit_creds,__sys_setresuid,function
9,v5.2,kernel,sys.c,commit_creds,__sys_setresgid,function
10,v5.2,kernel,sys.c,commit_creds,__sys_setfsuid,function
11,v5.2,kernel,sys.c,commit_creds,__sys_setfsgid,function
12,v5.2,kernel,umh.c,commit_creds,call_usermodehelper_exec_async,function
13,v5.2,kernel,user_namespace.c,commit_creds,userns_install,function
14,v5.2,security/apparmor,task.c,commit_creds,aa_replace_current_label,function
15,v5.2,security/apparmor,task.c,commit_creds,aa_set_current_hat,function
16,v5.2,security/apparmor,task.c,commit_creds,aa_restore_previous_label,function
17,v5.2,security,commoncap.c,commit_creds,cap_prctl_drop,function
18,v5.2,security,commoncap.c,commit_creds,cap_task_prctl,function
19,v5.2,security,commoncap.c,commit_creds,cap_task_prctl,function
20,v5.2,security,commoncap.c,commit_creds,cap_task_prctl,function
21,v5.2,security,commoncap.c,commit_creds,cap_task_prctl,function
22,v5.2,security/keys,keyctl.c,commit_creds,keyctl_change_reqkey_auth,function
23,v5.2,security/keys,keyctl.c,commit_creds,keyctl_set_reqkey_keyring,function
24,v5.2,security/keys,process_keys.c,commit_creds,install_thread_keyring,function
25,v5.2,security/keys,process_keys.c,commit_creds,install_process_keyring,function
26,v5.2,security/keys,process_keys.c,commit_creds,install_session_keyring,function
27,v5.2,security/keys,process_keys.c,commit_creds,join_session_keyring,function
28,v5.2,security/keys,process_keys.c,commit_creds,join_session_keyring,function
29,v5.2,security/keys,process_keys.c,commit_creds,key_change_session_keyring,function
30,v5.2,security/selinux,hooks.c,commit_creds,selinux_setprocattr,function
31,v5.2,security/smack,smack_lsm.c,commit_creds,smack_setprocattr,function
32,v5.2,arch/x86/ia32,ia32_aout.c,install_exec_creds,load_aout_binary,function
33,v5.2,fs,binfmt_aout.c,install_exec_creds,load_aout_binary,function
34,v5.2,fs,binfmt_elf.c,install_exec_creds,load_elf_binary,function
35,v5.2,fs,binfmt_elf_fdpic.c,install_exec_creds,load_elf_fdpic_binary,function
36,v5.2,fs,binfmt_flat.c,install_exec_creds,load_flat_binary,function
37,v5.2,kernel,auditsc.c,capset,show_special,function
38,v5.2,kernel,auditsc.c,capset,show_special,function
39,v5.2,kernel,auditsc.c,capset,show_special,function
40,v5.2,kernel,auditsc.c,capset,show_special,function
41,v5.2,kernel,auditsc.c,capset,show_special,function
42,v5.2,kernel,auditsc.c,capset,__audit_log_capset,function
43,v5.2,kernel,auditsc.c,capset,__audit_log_capset,function
44,v5.2,kernel,auditsc.c,capset,__audit_log_capset,function
45,v5.2,kernel,auditsc.c,capset,__audit_log_capset,function
46,v5.2,kernel,auditsc.c,capset,__audit_log_capset,function
47,v5.2,kernel,capability.c,capset,capset,function
48,v5.2,kernel,sys_ni.c,capset,COND_SYSCALL,function
49,v5.2,security,commoncap.c,capset,capability_hooks,struct
50,v5.2,security,security.c,capset,security_capset,function
51,v5.2,security/selinux,hooks.c,capset,selinux_hooks,struct
52,v5.2,drivers/base,devtmpfs.c,ksys_unshare,devtmpfsd,function
53,v5.2,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
54,v5.2,kernel,fork.c,ksys_unshare,unshare,function
55,v5.2,kernel,groups.c,set_current_groups,setgroups,function
56,v5.2,kernel,uid16.c,set_current_groups,setgroups16,function
57,v5.2,kernel,sys.c,__sys_setregid,setregid,function
58,v5.2,kernel,uid16.c,__sys_setregid,setregid16,function
59,v5.2,kernel,sys.c,__sys_setgid,setgid,function
60,v5.2,kernel,uid16.c,__sys_setgid,setgid16,function
61,v5.2,kernel,sys.c,__sys_setreuid,setreuid,function
62,v5.2,kernel,uid16.c,__sys_setreuid,setreuid16,function
63,v5.2,kernel,sys.c,__sys_setuid,setuid,function
64,v5.2,kernel,uid16.c,__sys_setuid,setuid16,function
65,v5.2,kernel,sys.c,__sys_setresuid,setresuid,function
66,v5.2,kernel,uid16.c,__sys_setresuid,setresuid16,function
67,v5.2,kernel,sys.c,__sys_setresgid,setresgid,function
68,v5.2,kernel,uid16.c,__sys_setresgid,setresgid16,function
69,v5.2,kernel,sys.c,__sys_setfsuid,setfsuid,function
70,v5.2,kernel,uid16.c,__sys_setfsuid,setfsuid16,function
71,v5.2,kernel,sys.c,__sys_setfsgid,setfsgid,function
72,v5.2,kernel,uid16.c,__sys_setfsgid,setfsgid16,function
73,v5.2,kernel,umh.c,call_usermodehelper_exec_async,call_usermodehelper_exec_sync,function
74,v5.2,kernel,umh.c,call_usermodehelper_exec_async,call_usermodehelper_exec_work,function
75,v5.2,kernel,user_namespace.c,userns_install,userns_operations,struct
76,v5.2,security/apparmor,domain.c,aa_replace_current_label,aa_change_profile,function
77,v5.2,security/apparmor/include,cred.h,aa_replace_current_label,begin_current_label_crit_section,function
78,v5.2,security/apparmor,mount.c,aa_replace_current_label,aa_pivotroot,function
79,v5.2,security/apparmor,domain.c,aa_set_current_hat,aa_change_hat,function
80,v5.2,security/apparmor,domain.c,aa_restore_previous_label,aa_change_hat,function
81,v5.2,security,commoncap.c,cap_prctl_drop,cap_task_prctl,function
82,v5.2,include/linux,security.h,cap_task_prctl,security_task_prctl,function
83,v5.2,security,commoncap.c,cap_task_prctl,capability_hooks,struct
84,v5.2,include/linux,security.h,cap_task_prctl,security_task_prctl,function
85,v5.2,security,commoncap.c,cap_task_prctl,capability_hooks,struct
86,v5.2,include/linux,security.h,cap_task_prctl,security_task_prctl,function
87,v5.2,security,commoncap.c,cap_task_prctl,capability_hooks,struct
88,v5.2,include/linux,security.h,cap_task_prctl,security_task_prctl,function
89,v5.2,security,commoncap.c,cap_task_prctl,capability_hooks,struct
90,v5.2,security/keys,keyctl.c,keyctl_change_reqkey_auth,keyctl_instantiate_key_common,function
91,v5.2,security/keys,keyctl.c,keyctl_change_reqkey_auth,keyctl_reject_key,function
92,v5.2,security/keys,keyctl.c,keyctl_change_reqkey_auth,keyctl_assume_authority,function
93,v5.2,security/keys,keyctl.c,keyctl_change_reqkey_auth,keyctl_assume_authority,function
94,v5.2,security/keys,compat.c,keyctl_set_reqkey_keyring,COMPAT_SYSCALL_DEFINE5,function
95,v5.2,security/keys,keyctl.c,keyctl_set_reqkey_keyring,keyctl,function
96,v5.2,security/keys,process_keys.c,install_thread_keyring,lookup_user_key,function
97,v5.2,security/keys,process_keys.c,install_process_keyring,lookup_user_key,function
98,v5.2,security/keys,process_keys.c,install_session_keyring,lookup_user_key,function
99,v5.2,security/keys,keyctl.c,join_session_keyring,keyctl_join_session_keyring,function
100,v5.2,security/keys,process_keys.c,join_session_keyring,lookup_user_key,function
101,v5.2,security/keys,process_keys.c,join_session_keyring,lookup_user_key,function
102,v5.2,security/keys,keyctl.c,join_session_keyring,keyctl_join_session_keyring,function
103,v5.2,security/keys,process_keys.c,join_session_keyring,lookup_user_key,function
104,v5.2,security/keys,process_keys.c,join_session_keyring,lookup_user_key,function
105,v5.2,security/keys,keyctl.c,key_change_session_keyring,keyctl_session_to_parent,function
106,v5.2,security/keys,keyctl.c,key_change_session_keyring,keyctl_session_to_parent,function
107,v5.2,security/selinux,hooks.c,selinux_setprocattr,selinux_hooks,struct
108,v5.2,security/smack,smack_lsm.c,smack_setprocattr,smack_hooks,struct
109,v5.3,fs,exec.c,commit_creds,install_exec_creds,function
110,v5.3,kernel,capability.c,commit_creds,capset,function
111,v5.3,kernel,fork.c,commit_creds,ksys_unshare,function
112,v5.3,kernel,groups.c,commit_creds,set_current_groups,function
113,v5.3,kernel,sys.c,commit_creds,__sys_setregid,function
114,v5.3,kernel,sys.c,commit_creds,__sys_setgid,function
115,v5.3,kernel,sys.c,commit_creds,__sys_setreuid,function
116,v5.3,kernel,sys.c,commit_creds,__sys_setuid,function
117,v5.3,kernel,sys.c,commit_creds,__sys_setresuid,function
118,v5.3,kernel,sys.c,commit_creds,__sys_setresgid,function
119,v5.3,kernel,sys.c,commit_creds,__sys_setfsuid,function
120,v5.3,kernel,sys.c,commit_creds,__sys_setfsgid,function
121,v5.3,kernel,umh.c,commit_creds,call_usermodehelper_exec_async,function
122,v5.3,kernel,user_namespace.c,commit_creds,userns_install,function
123,v5.3,security/apparmor,task.c,commit_creds,aa_replace_current_label,function
124,v5.3,security/apparmor,task.c,commit_creds,aa_set_current_hat,function
125,v5.3,security/apparmor,task.c,commit_creds,aa_restore_previous_label,function
126,v5.3,security,commoncap.c,commit_creds,cap_prctl_drop,function
127,v5.3,security,commoncap.c,commit_creds,cap_task_prctl,function
128,v5.3,security,commoncap.c,commit_creds,cap_task_prctl,function
129,v5.3,security,commoncap.c,commit_creds,cap_task_prctl,function
130,v5.3,security,commoncap.c,commit_creds,cap_task_prctl,function
131,v5.3,security/keys,keyctl.c,commit_creds,keyctl_change_reqkey_auth,function
132,v5.3,security/keys,keyctl.c,commit_creds,keyctl_set_reqkey_keyring,function
133,v5.3,security/keys,process_keys.c,commit_creds,install_thread_keyring,function
134,v5.3,security/keys,process_keys.c,commit_creds,install_process_keyring,function
135,v5.3,security/keys,process_keys.c,commit_creds,install_session_keyring,function
136,v5.3,security/keys,process_keys.c,commit_creds,join_session_keyring,function
137,v5.3,security/keys,process_keys.c,commit_creds,join_session_keyring,function
138,v5.3,security/keys,process_keys.c,commit_creds,key_change_session_keyring,function
139,v5.3,security/selinux,hooks.c,commit_creds,selinux_setprocattr,function
140,v5.3,security/smack,smack_lsm.c,commit_creds,smack_setprocattr,function
141,v5.3,arch/x86/ia32,ia32_aout.c,install_exec_creds,load_aout_binary,function
142,v5.3,fs,binfmt_aout.c,install_exec_creds,load_aout_binary,function
143,v5.3,fs,binfmt_elf.c,install_exec_creds,load_elf_binary,function
144,v5.3,fs,binfmt_elf_fdpic.c,install_exec_creds,load_elf_fdpic_binary,function
145,v5.3,fs,binfmt_flat.c,install_exec_creds,load_flat_binary,function
146,v5.3,kernel,auditsc.c,capset,show_special,function
147,v5.3,kernel,auditsc.c,capset,show_special,function
148,v5.3,kernel,auditsc.c,capset,show_special,function
149,v5.3,kernel,auditsc.c,capset,show_special,function
150,v5.3,kernel,auditsc.c,capset,show_special,function
151,v5.3,kernel,auditsc.c,capset,__audit_log_capset,function
152,v5.3,kernel,auditsc.c,capset,__audit_log_capset,function
153,v5.3,kernel,auditsc.c,capset,__audit_log_capset,function
154,v5.3,kernel,auditsc.c,capset,__audit_log_capset,function
155,v5.3,kernel,auditsc.c,capset,__audit_log_capset,function
156,v5.3,kernel,capability.c,capset,capset,function
157,v5.3,kernel,sys_ni.c,capset,COND_SYSCALL,function
158,v5.3,security,commoncap.c,capset,capability_hooks,struct
159,v5.3,security,security.c,capset,security_capset,function
160,v5.3,security/selinux,hooks.c,capset,selinux_hooks,struct
161,v5.3,drivers/base,devtmpfs.c,ksys_unshare,devtmpfsd,function
162,v5.3,init,do_mounts_initrd.c,ksys_unshare,init_linuxrc,function
163,v5.3,kernel,fork.c,ksys_unshare,unshare,function
164,v5.3,kernel,groups.c,set_current_groups,setgroups,function
165,v5.3,kernel,uid16.c,set_current_groups,setgroups16,function
166,v5.3,kernel,sys.c,__sys_setregid,setregid,function
167,v5.3,kernel,uid16.c,__sys_setregid,setregid16,function
168,v5.3,kernel,sys.c,__sys_setgid,setgid,function
169,v5.3,kernel,uid16.c,__sys_setgid,setgid16,function
170,v5.3,kernel,sys.c,__sys_setreuid,setreuid,function
171,v5.3,kernel,uid16.c,__sys_setreuid,setreuid16,function
172,v5.3,kernel,sys.c,__sys_setuid,setuid,function
173,v5.3,kernel,uid16.c,__sys_setuid,setuid16,function
